date,ret1_fwd,pos,pos_prev,turnover,tc,strategy_ret,bh_ret,cum_strategy,cum_bh
2022-01-27,0.024055891707797983,1,1,0,0.0,0.024055891707797983,0.024055891707797983,1.0770378683548365,1.19758691040763
2022-01-28,0.01870989151139746,1,1,0,0.0,0.01870989151139746,0.01870989151139746,1.0973788251970813,1.2202045586586137
2022-01-31,0.006839508503304614,1,1,0,0.0,0.006839508503304614,0.006839508503304614,1.1049100826945863,1.2285787631902503
2022-02-01,0.009378434574516703,0,1,1,0.0001,-0.0001,0.009378434574516703,1.1047995972106832,1.2401551078864508
2022-02-02,-0.02469348416817496,1,0,1,0.0001,-0.02479348416817496,-0.02469348416817496,1.077744546295294,1.2099063678002506
2022-02-03,0.0051437130908578155,1,1,0,0.0,0.0051437130908578155,0.0051437130908578155,1.0833024368698094,1.2161458122221767
2022-02-04,-0.0037086548006097786,1,1,0,0.0,-0.0037086548006097786,-0.0037086548006097786,1.0792922828216749,1.2116439003958759
2022-02-07,0.00836613096277894,1,1,0,0.0,0.00836613096277894,0.00836613096277894,1.0883596599521208,1.2218231932228116
2022-02-08,0.014412812398356678,1,1,0,0.0,0.014412812398356678,0.014412812398356678,1.1041595706195615,1.2395606177293177
2022-02-09,-0.018281803510330263,1,1,0,0.0,-0.018281803510330263,-0.018281803510330263,1.0841569414839074,1.2171051031575524
2022-02-10,-0.019151696234066762,1,1,0,0.0,-0.019151696234066762,-0.019151696234066762,1.0635910614195239,1.1940172672368348
2022-02-11,-0.003847942065318577,1,1,0,0.0,-0.003847942065318577,-0.003847942065318577,1.0595062886586093,1.1894315863429383
2022-02-14,0.01564373921237383,1,1,0,0.0,0.01564373921237383,0.01564373921237383,1.0762112521004192,1.2081850485725478
2022-02-15,0.0008808327792149129,1,1,0,0.0,0.0008808327792149129,0.0008808327792149129,1.077159631869305,1.209249726399415
2022-02-16,-0.021400503004024074,1,1,0,0.0,-0.021400503004024074,-0.021400503004024074,1.0543527833662583,1.1836461162228238
2022-02-17,-0.007192042117619479,1,1,0,0.0,-0.007192042117619479,-0.007192042117619479,1.0467970369334294,1.1751638225717096
2022-02-18,-0.010194654042816609,1,1,0,0.0,-0.010194654042816609,-0.010194654042816609,1.0361795162213507,1.1632442949211608
2022-02-22,-0.01858379019433265,1,1,0,0.0,-0.01858379019433265,-0.01858379019433265,1.0171011963020757,1.141826435896396
2022-02-23,0.01484605971153563,1,1,0,0.0,0.01484605971153563,0.01484605971153563,1.0323137854882765,1.15890451677408
2022-02-24,0.022126148364755238,1,1,0,0.0,0.022126148364755238,0.022126148364755238,1.0554094806214387,1.1848323943091057
2022-02-25,-0.002445600339324727,1,1,0,0.0,-0.002445600339324727,-0.002445600339324727,1.052831524447639,1.1819383081350563
2022-02-28,-0.015594426756136315,1,1,0,0.0,-0.015594426756136315,-0.015594426756136315,1.036540574508998,1.1636496291192069
2022-03-01,0.018470983448990452,1,1,0,0.0,0.018470983448990452,0.018470983448990452,1.0558644140638755,1.1853431153986456
2022-03-02,-0.005268565551901361,1,1,0,0.0,-0.005268565551901361,-0.005268565551901361,1.0503161517103636,1.179114479888667
2022-03-03,-0.007965657901415568,1,1,0,0.0,-0.007965657901415568,-0.007965657901415568,1.0419829264314677,1.1697593665977597
2022-03-04,-0.029962522550535553,1,1,0,0.0,-0.029962522550535553,-0.029962522550535553,1.0112255744344305,1.1352302973801893
2022-03-07,-0.007260127998096166,1,1,0,0.0,-0.007260127998096166,-0.007260127998096166,1.0039105335266978,1.1270182265277704
2022-03-08,0.025373672345635256,0,1,1,0.0001,-0.0001,0.025373672345635256,1.0038101474927306,1.1559807060921714
2022-03-09,-0.004301081899390269,1,0,1,0.0001,-0.004401081899390269,-0.004301081899390269,0.9994020042372218,1.151019415508085
2022-03-10,-0.013046288284511931,1,1,0,0.0,-0.013046288284511931,-0.013046288284511931,0.9864482008382623,1.136100414791995
2022-03-11,-0.007448628397105139,1,1,0,0.0,-0.007448628397105139,-0.007448628397105139,0.979127812031025,1.1276694634726316
2022-03-14,0.02118255114065626,1,1,0,0.0,0.02118255114065626,0.02118255114065626,1.0000894638271316,1.1518111683082681
2022-03-15,0.0221369988429565,1,1,0,0.0,0.0221369988429565,0.0221369988429565,1.0224753066508019,1.177593125532001
2022-03-16,0.012272191404502308,1,1,0,0.0,0.012272191404502308,0.012272191404502308,1.0351006310648203,1.1921338143299134
2022-03-17,0.011594770446318847,1,1,0,0.0,0.011594770446318847,0.011594770446318847,1.0471722337613698,1.2060367773229015
2022-03-18,-0.00043476799985597836,1,1,0,0.0,-0.00043476799985597836,-0.00043476799985597836,1.0467170557393817,1.2055125450934285
2022-03-21,0.011240769260245642,1,1,0,0.0,0.011240769260245642,0.011240769260245642,1.0585493380326167,1.2191398808317442
2022-03-22,-0.012348713151043356,1,1,0,0.0,-0.012348713151043356,-0.012348713151043356,1.0455579941782354,1.2041776444678625
2022-03-23,0.014242030309045361,1,1,0,0.0,0.014242030309045361,0.014242030309045361,1.0605554061192155,1.2214502857606084
2022-03-24,0.005053402374178617,1,1,0,0.0,0.005053402374178617,0.005053402374178617,1.0659283838014506,1.2276383878507822
2022-03-25,0.007119559648820939,1,1,0,0.0,0.007119559648820939,0.007119559648820939,1.073544403695133,1.2364098198965032
2022-03-28,0.01218202728525597,1,1,0,0.0,0.01218202728525597,0.01218202728525597,1.0867023333204489,1.251563914447461
2022-03-29,-0.006313610350948906,1,1,0,0.0,-0.006313610350948906,-0.006313610350948906,1.0798629315983028,1.2436869198654281
2022-03-30,-0.01577632727939715,1,1,0,0.0,-0.01577632727939715,-0.01577632727939715,1.0629603415446702,1.2242200694472585
2022-03-31,0.0034044855260564333,1,1,0,0.0,0.0034044855260564333,0.0034044855260564333,1.06658534177133,1.2283950116871343
2022-04-01,0.00805832262263273,1,1,0,0.0,0.00805832262263273,0.00805832262263273,1.0752149539613995,1.2383338062232292
2022-04-04,-0.012631155137048822,1,1,0,0.0,-0.012631155137048822,-0.012631155137048822,1.06171916023729,1.2227905908421492
2022-04-05,-0.009764386222700594,1,1,0,0.0,-0.009764386222700594,-0.009764386222700594,1.0514025738317065,1.210908894383419
2022-04-06,0.004244352439510379,1,1,0,0.0,0.004244352439510379,0.004244352439510379,1.0558745805838186,1.2160593409265923
2022-04-07,-0.0026545074879766872,1,1,0,0.0,-0.0026545074879766872,-0.0026545074879766872,1.0530754703764367,1.2128355829381317
2022-04-08,-0.017021333762949453,1,1,0,0.0,-0.017021333762949453,-0.017021333762949453,1.0353024110127131,1.1923662059367945
2022-04-11,-0.0034233936348684324,1,1,0,0.0,-0.0034233936348684324,-0.0034233936348684324,1.031764223089215,1.1882912461324355
2022-04-12,0.011112682823132047,1,1,0,0.0,0.011112682823132047,0.011112682823132047,1.043293835460612,1.2015699944604308
